iter	RMSE
0	78450.18473
1	78025.05969
2	77668.03792
3	77339.99685
4	77027.10094
5	76726.15759
6	76439.41514
7	76149.10976
8	75910.24721
9	75693.28564
10	75496.72836
11	75310.65665
12	75119.60193
13	74959.35387
14	74785.27608
15	74630.4362
16	74479.15164
17	74351.67961
18	74208.2543
19	74112.97952
20	73998.29244
21	73886.94421
22	73799.43944
23	73695.80596
24	73618.56986
25	73520.68513
26	73430.51109
27	73368.37672
28	73311.75226
29	73257.44976
30	73171.89207
31	73090.29167
32	73012.41198
33	72938.55772
34	72873.42738
35	72809.57709
36	72754.35548
37	72711.24275
38	72681.56438
39	72655.20847
40	72603.64766
41	72535.34591
42	72492.28399
43	72459.04967
44	72423.32736
45	72376.70399
46	72333.85826
47	72304.64651
48	72275.52761
49	72246.52015
50	72219.45715
51	72205.99734
52	72156.21211
53	72122.81985
54	72093.8466
55	72055.6709
56	72026.3247
57	72003.13698
58	71982.02491
59	71955.56118
60	71918.4195
61	71889.58359
62	71824.41267
63	71783.31377
64	71756.10708
65	71733.34063
66	71711.08815
67	71675.24447
68	71654.94237
69	71633.85501
70	71613.46352
71	71574.55914
72	71558.66193
73	71547.91361
74	71529.73697
75	71509.37801
76	71489.14395
77	71473.05654
78	71459.16661
79	71436.62318
80	71396.08939
81	71351.71634
82	71332.13305
83	71297.98352
84	71235.16646
85	71220.18683
86	71204.92285
87	71186.29299
88	71159.10502
89	71149.28129
90	71125.92338
91	71098.656
92	71069.52504
93	71032.68113
94	71001.73401
95	70975.51599
96	70964.62919
97	70955.74422
98	70946.22159
99	70929.58134
100	70903.80415
101	70868.52531
102	70856.08362
103	70785.3005
104	70763.46041
105	70742.70796
106	70716.88153
107	70674.67585
108	70642.26813
109	70614.33197
110	70590.5985
111	70572.06181
112	70556.7459
113	70515.68427
114	70475.61516
115	70453.82432
116	70439.10806
117	70376.52646
118	70360.18465
119	70327.90406
120	70303.29861
121	70296.14664
122	70282.03678
123	70265.35955
124	70248.5992
125	70214.52469
126	70198.55716
127	70187.07123
128	70165.04175
129	70128.35711
130	70116.89458
131	70100.47321
132	70073.61955
133	70052.25307
134	69997.87553
135	69967.87928
136	69963.70753
137	69950.00767
138	69927.75398
139	69879.43058
140	69833.01388
141	69814.27604
142	69785.58763
143	69759.59819
144	69705.63705
145	69689.03258
146	69650.78128
147	69598.25412
148	69589.13075
149	69555.94539
150	69521.54099
151	69516.19356
152	69479.2688
153	69453.23841
154	69432.85693
155	69421.66412
156	69377.91696
157	69344.95775
158	69332.26832
159	69310.25603
160	69284.19747
161	69273.64541
162	69265.35292
163	69244.44707
164	69236.93831
165	69233.34268
166	69218.82333
167	69204.78635
168	69178.60122
169	69152.98204
170	69117.41789
171	69098.99792
172	69057.74602
173	69029.21373
174	69006.24077
175	68992.86671
176	68976.91311
177	68956.33277
178	68922.59741
179	68909.81729
180	68891.84557
181	68859.76832
182	68818.54436
183	68813.92144
184	68793.74832
185	68759.37992
186	68740.8543
187	68718.413
188	68713.98408
189	68704.55873
190	68688.08473
191	68671.89834
192	68657.33802
193	68634.00397
194	68628.40262
195	68587.32827
196	68575.27401
197	68571.99408
198	68559.03827
199	68529.57442
200	68520.87694
201	68505.044
202	68494.1413
203	68473.34113
204	68464.27583
205	68439.36119
206	68414.38219
207	68399.19787
208	68368.74426
209	68356.34878
210	68348.01335
211	68329.26549
212	68303.68928
213	68297.10318
214	68265.09191
215	68232.51787
216	68206.39003
217	68174.44712
218	68142.87774
219	68116.03945
220	68110.77112
221	68101.21002
222	68091.97429
223	68087.43927
224	68054.6952
225	68032.87778
226	68017.41858
227	67987.59566
228	67966.61102
229	67952.45941
230	67940.74111
231	67923.37112
232	67898.60531
233	67876.47879
234	67851.40733
235	67829.9673
236	67828.534
237	67818.89046
238	67793.63034
239	67776.55089
240	67748.15548
241	67732.20759
242	67717.8526
243	67713.36481
244	67695.93976
245	67683.51638
246	67670.87374
247	67630.15207
248	67614.59751
249	67591.40377
250	67566.23312
251	67524.7367
252	67512.40374
253	67490.03523
254	67477.21457
255	67457.48598
256	67451.51977
257	67441.85531
258	67400.11398
259	67391.05287
260	67373.07887
261	67344.53976
262	67328.76392
263	67306.02698
264	67295.78294
265	67262.06475
266	67230.42763
267	67202.87074
268	67187.01527
269	67182.81322
270	67161.42475
271	67123.14165
272	67109.80006
273	67093.6076
274	67082.21351
275	67061.40667
276	67052.9169
277	67021.64909
278	66997.50296
279	66968.19587
280	66956.44154
281	66952.26822
282	66935.03391
283	66911.93377
284	66900.21278
285	66889.06512
286	66878.82707
287	66837.43644
288	66813.69655
289	66765.51172
290	66726.16463
291	66713.97082
292	66686.83436
293	66662.9474
294	66644.74699
295	66624.33446
296	66604.39332
297	66574.02764
298	66562.13017
299	66548.28164
300	66541.03366
301	66533.18636
302	66524.49542
303	66497.83699
304	66480.27405
305	66473.04208
306	66462.05709
307	66452.13825
308	66427.37652
309	66408.15345
310	66403.86191
311	66383.61325
312	66364.79989
313	66359.10422
314	66332.66439
315	66325.68802
316	66315.22209
317	66306.40863
318	66282.83433
319	66266.20815
320	66242.90836
321	66230.67261
322	66218.84447
323	66209.54105
324	66200.60598
325	66189.7203
326	66171.77637
327	66122.99591
328	66077.65742
329	66066.42485
330	66050.209
331	66019.02567
