iter	Passed	Remaining
0	85	426985
1	180	450306
2	260	434100
3	348	434839
4	416	416037
5	490	408533
6	560	399574
7	615	384013
8	676	375264
9	758	378273
10	835	378927
11	910	378480
12	980	375975
13	1034	368381
14	1101	365985
15	1168	364008
16	1235	362066
17	1300	360051
18	1364	357738
19	1428	355732
20	1486	352362
21	1547	350173
22	1611	348784
23	1683	349020
24	1741	346538
25	1811	346631
26	1887	347617
27	1946	345651
28	2019	346214
29	2082	345065
30	2136	342431
31	2215	343901
32	2283	343750
33	2340	341875
34	2407	341469
35	2482	342346
36	2540	340709
37	2617	341821
38	2689	342122
39	2768	343310
40	2826	341837
41	2894	341722
42	2949	340041
43	3013	339463
44	3068	337916
45	3119	335937
46	3175	334611
47	3232	333481
48	3291	332591
49	3353	331991
50	3417	331671
51	3469	330144
52	3525	329088
53	3585	328439
54	3632	326576
55	3696	326347
56	3746	324897
57	3804	324143
58	3851	322507
59	3907	321746
60	3963	320951
61	4039	321752
62	4091	320646
63	4145	319688
64	4221	320534
65	4277	319743
66	4338	319453
67	4393	318644
68	4451	318153
69	4523	318559
70	4571	317378
71	4620	316227
72	4686	316324
73	4758	316777
74	4810	315910
75	4857	314734
76	4946	316240
77	5015	316519
78	5098	317598
79	5165	317652
80	5241	318315
81	5317	318909
82	5382	318875
83	5443	318599
84	5494	317700
85	5550	317179
86	5602	316390
87	5656	315726
88	5701	314580
89	5768	314689
90	5829	314492
91	5893	314387
92	5947	313836
93	6016	314009
94	6084	314142
95	6142	313775
96	6192	313020
97	6265	313418
98	6325	313152
99	6369	312111
100	6433	312050
101	6506	312452
102	6576	312651
103	6635	312370
104	6696	312178
105	6750	311689
106	6825	312144
107	6895	312327
108	6962	312402
109	7030	312526
110	7084	312042
111	7145	311862
112	7188	310895
113	7248	310688
114	7320	310973
115	7371	310356
116	7433	310247
117	7506	310553
118	7589	311295
119	7666	311772
120	7737	311990
121	7798	311822
122	7855	311470
123	7908	310988
124	7965	310658
125	8026	310489
126	8085	310255
127	8137	309742
128	8182	308985
129	8237	308600
130	8294	308276
131	8353	308076
132	8398	307323
133	8454	307000
134	8507	306592
135	8569	306474
136	8615	305809
137	8690	306184
138	8747	305924
139	8802	305579
140	8854	305123
141	8908	304763
142	8956	304222
143	9011	303900
144	9067	303615
145	9128	303492
146	9192	303487
147	9268	303854
148	9327	303678
149	9396	303811
150	9460	303802
151	9528	303918
152	9593	303914
153	9660	303991
154	9725	304011
155	9783	303796
156	9843	303644
157	9917	303933
158	9995	304313
159	10059	304304
160	10117	304095
161	10168	303681
162	10248	304123
163	10329	304606
164	10391	304494
165	10442	304088
166	10508	304116
167	10573	304110
168	10640	304155
169	10703	304102
170	10773	304234
171	10830	304019
172	10894	303984
173	10946	303597
174	11005	303448
175	11070	303423
176	11130	303298
177	11189	303121
178	11238	302682
179	11308	302812
180	11385	303132
181	11449	303098
182	11497	302652
183	11563	302656
184	11639	302947
185	11695	302706
186	11750	302431
187	11813	302373
188	11862	301962
189	11941	302306
190	12000	302145
191	12058	301971
192	12117	301799
193	12187	301926
194	12269	302321
195	12336	302375
196	12407	302509
197	12468	302398
198	12551	302806
199	12624	302981
200	12692	303033
201	12749	302826
202	12825	303082
203	12887	302972
204	12967	303324
205	13028	303186
206	13091	303119
207	13150	302972
208	13203	302660
209	13251	302266
210	13313	302169
211	13366	301872
212	13417	301544
213	13476	301393
214	13531	301161
215	13580	300772
216	13641	300675
217	13700	300523
218	13751	300211
219	13812	300104
220	13891	300392
221	13949	300234
222	14005	300022
223	14071	300018
224	14126	299786
225	14179	299533
226	14247	299579
227	14328	299884
228	14390	299808
229	14459	299886
230	14519	299760
231	14582	299698
232	14635	299435
233	14703	299483
234	14769	299477
235	14847	299718
236	14913	299708
237	14978	299697
238	15038	299576
239	15105	299588
240	15180	299763
241	15247	299775
242	15311	299749
243	15369	299573
244	15428	299443
245	15487	299292
246	15549	299213
247	15603	298984
248	15673	299060
249	15726	298802
250	15794	298844
251	15849	298621
252	15914	298597
253	15966	298330
254	16025	298206
255	16073	297858
256	16129	297682
257	16186	297501
258	16246	297398
259	16304	297246
260	16372	297284
261	16428	297095
262	16489	297004
263	16545	296819
264	16597	296555
265	16653	296388
266	16718	296357
267	16769	296086
268	16816	295764
269	16878	295680
270	16939	295596
271	17006	295614
272	17073	295632
273	17131	295493
274	17190	295367
275	17238	295051
276	17293	294869
277	17367	294989
278	17443	295172
279	17502	295044
280	17569	295052
281	17631	294980
282	17691	294875
283	17761	294940
284	17812	294685
285	17876	294656
286	17928	294419
287	17992	294372
288	18049	294223
289	18110	294134
290	18179	294189
291	18227	293893
292	18301	294008
293	18370	294052
294	18429	293942
295	18490	293852
296	18560	293910
297	18622	293840
298	18688	293828
299	18745	293680
300	18805	293578
301	18869	293532
302	18927	293412
303	18979	293176
304	19048	293226
305	19096	292933
306	19174	293116
307	19244	293160
308	19312	293192
309	19369	293041
310	19442	293139
311	19507	293112
312	19589	293337
313	19660	293406
314	19720	293307
315	19802	293532
316	19865	293471
317	19935	293513
318	20016	293728
319	20098	293933
320	20153	293767
321	20207	293572
322	20265	293439
323	20323	293306
324	20375	293090
325	20449	293194
326	20510	293112
327	20575	293078
328	20650	293187
329	20708	293058
330	20792	293291
331	20845	293096
